accession	scaffold_count	gc_count	longest_scaffold	gc_percentage	total_gap_length	genome_size	n50_contigs	n50_scaffolds	l50_scaffolds	contig_count	ambiguous_bases	longest_contig	l50_contigs	mean_scaffold_length	mean_contig_length	trna_aa_count	trna_selenocysteine_count	trna_count	checkm_completeness	checkm_contamination	protein_count	coding_bases	coding_density	ssu_count	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	lsu_5s_count	ncbi_taxonomy	gtdb_genome_representative	gtdb_representative	ncbi_taxonomy_unfiltered	ncbi_type_material	ncbi_biosample	ncbi_total_gap_length	ncbi_molecule_count	ncbi_date	ncbi_submitter	ncbi_ncrna_count	ncbi_scaffold_n50	ncbi_assembly_name	ncbi_scaffold_n75	ncbi_protein_count	ncbi_assembly_type	ncbi_rrna_count	ncbi_genbank_assembly_accession	ncbi_total_length	ncbi_unspanned_gaps	ncbi_taxid	ncbi_trna_count	ncbi_genome_representation	ncbi_spanned_gaps	ncbi_translation_table	ncbi_scaffold_n90	ncbi_contig_count	ncbi_organism_name	ncbi_contig_n50	ncbi_ungapped_length	ncbi_scaffold_l50	ncbi_ssu_count	ncbi_scaffold_count	ncbi_assembly_level	ncbi_refseq_category	ncbi_species_taxid	ncbi_isolate	ncbi_wgs_master	ncbi_bioproject	ncbi_seq_rel_date	ncbi_isolation_source	ncbi_country	ncbi_lat_lon	ncbi_strain_identifiers	ssu_gg_taxonomy	ssu_gg_blast_bitscore	ssu_gg_blast_subject_id	ssu_gg_blast_perc_identity	ssu_gg_blast_evalue	ssu_gg_blast_align_len	ssu_gg_query_id	ssu_gg_length	ssu_silva_blast_bitscore	ssu_silva_taxonomy	ssu_silva_blast_subject_id	ssu_silva_blast_align_len	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	lsu_5s_query_id	lsu_5s_length	lsu_5s_contig_len	gtdb_taxonomy	mimag_high_quality	gtdb_cluster_size	gtdb_clustered_genomes	gtdb_type_material
GB_GCA_002724815.1	102	904663	112148	49.5038739583	10451	1837910	22382	22414	24	102	0	111304	24	18018	17916	none	none	none	78.51	1.92	1560	1760938	95.8119820884	0	188	p__Euryarchaeota (UID3)	125	100	0	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	GB_GCA_002724815.1	t	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__unclassified Euryarchaeota (miscellaneous);s__Euryarchaeota archaeon	f	SAMN07618817	0	0	2017-10-26	Tara Oceans Consortium	0	none	ASM272481v1	none	1520	n/a	0	GCA_002724815.1	1837910	0	2026739	40	full	0	11	none	102	Euryarchaeota archaeon	22414	1837910	none	0	none	Contig	na	2026739	RS348	PBPV00000000.1	PRJNA391943	2017/10/26	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIB;g__UBA501;s__	f	1	GB_GCA_002724815.1	f
GB_GCA_002254885.1	55	385907	65112	32.0677640474	57	1203468	30582	30582	13	58	0	65112	13	21881	20748	none	none	none	70.13	2.4	1240	1063910	88.4036800314	0	188	p__Euryarchaeota (UID3)	125	0	0	d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__;g__;s__	GB_GCA_002254885.1	t	d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;x__unclassified Thermoplasmatales;x__unclassified Thermoplasmatales (miscellaneous);s__Thermoplasmatales archaeon ex4572_165	f	SAMN06647982	57	0	2017-8-16	The University of Texas at Austin	0	none	ASM225488v1	none	1193	n/a	0	GCA_002254885.1	1203468	0	2012525	28	full	3	11	none	58	Thermoplasmatales archaeon ex4572_165	30582	1203411	none	0	none	Scaffold	na	2012525	ex4572_165	NJDG00000000.1	PRJNA362212	2017/08/16	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__ex4572-165;s__	f	1	GB_GCA_002254885.1	f
GB_GCA_002506085.1	28	865535	236722	48.0800958119	10688	1810882	67574	155372	5	83	0	223492	8	64674	21689	none	none	none	97.71	0.65	1807	1564748	86.408059719	0	234	p__Euryarchaeota (UID54)	153	0	0	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__;s__	GB_GCA_002506085.1	t	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;x__unclassified Methanocorpusculaceae;s__Methanocorpusculaceae archaeon UBA425	f	SAMN06027379	10688	0	2017-10-10	University of Queensland	0	none	ASM250608v1	none	0	n/a	0	GCA_002506085.1	1810882	0	1915628	0	full	55	none	none	83	Methanocorpusculaceae archaeon UBA425	67574	1800194	none	0	none	Scaffold	na	1915628	UBA425	DAWV00000000.1	PRJNA348753	2017/10/10	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	f	2	GB_GCA_002506085.1;U_73826	f
GB_GCA_002839545.1	128	859731	59319	43.1512800114	2898	1995263	17661	24496	28	180	0	52391	36	15587	11068	none	none	none	96.41	1.96	2288	1771320	88.7762665874	1	228	p__Euryarchaeota (UID49)	153	33.33	1	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__;s__	GB_GCA_002839545.1	t	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;x__unclassified Candidatus Methanoperedenaceae;s__Candidatus Methanoperedenaceae archaeon HGW-Methanoperedenaceae-1	f	SAMN06767741	2867	0	2017-12-13	UC Berkeley	0	none	ASM283954v1	none	2198	n/a	3	GCA_002839545.1	1995263	0	2013824	45	full	52	11	none	180	Candidatus Methanoperedenaceae archaeon HGW-Methanoperedenaceae-1	17661	1992396	none	1	none	Scaffold	na	2013824	HGW-Methanoperedenaceae-1	PGYG00000000.1	PRJNA321556	2017/12/13	none	none	none	none	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2D;g__;s__	2383	4409215	96.48	0	1449	PGYG01000007.1	1472	2383	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;GOM Arc I;uncultured archaeon	JQ407243.1.1444	1449	0	96.48	PGYG01000007.1	115	25589	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__operedenaceae-1;s__	f	7	U_35043;U_78801;U_97369;U_35302;U_107657;GB_GCA_002839545.1;U_51351	f
GB_GCA_002504985.1	15	658121	247703	55.8307367199	127	1178906	113809	113809	4	17	0	247701	4	78593	69339	none	none	none	88.79	0	1292	1034829	87.7787542009	1	149	k__Archaea (UID2)	107	0	1	d__Archaea;p__Candidatus Verstraetearchaeota;c__;o__;f__;g__;s__	GB_GCA_001717025.1	f	d__Archaea;x__TACK group;p__Candidatus Verstraetearchaeota;x__unclassified Candidatus Verstraetearchaeota;s__Candidatus Verstraetearchaeota archaeon UBA156	f	SAMN06027504	117	0	2017-10-10	University of Queensland	0	none	ASM250498v1	none	0	n/a	0	GCA_002504985.1	1178906	0	1916019	0	full	2	none	none	17	Candidatus Verstraetearchaeota archaeon UBA156	113809	1178789	none	0	none	Scaffold	na	1916019	UBA156	DAUC00000000.1	PRJNA348753	2017/10/10	none	none	none	none	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__;f__;g__;s__	944	522457	88.36	0	799	DAUC01000011.1	851	1112	Archaea;Crenarchaeota;Thermoprotei;Terrestrial Miscellaneous Gp(TMCG);uncultured crenarchaeote	HQ141848.1.944	797	0	92.095	DAUC01000011.1	108	113809	d__Archaea;p__Crenarchaeota;c__Methanomethylicia;o__Methanomethyliales;f__Methanomethyliaceae;g__Methanomethylicus;s__Methanomethylicus oleusabulum	f	none	none	f
GB_GCA_002792115.1	57	441603	77153	33.2195681185	507	1329853	37563	37563	14	68	0	75477	14	23330	19549	none	none	none	80.37	0	1468	1215544	91.4043883046	1	149	k__Archaea (UID2)	107	0	0	d__Archaea;p__Candidatus Woesearchaeota;c__;o__;f__;g__;s__	GB_GCA_002792115.1	t	d__Archaea;x__DPANN group;p__Candidatus Woesearchaeota;s__Candidatus Woesearchaeota archaeon CG_4_10_14_0_2_um_filter_33_13	f	SAMN06659777	490	0	2017-11-16	DOE Joint Genome Institute	0	none	ASM279211v1	none	1423	n/a	3	GCA_002792115.1	1329853	0	1974449	21	full	11	11	none	68	Candidatus Woesearchaeota archaeon CG_4_10_14_0_2_um_filter_33_13	37563	1329363	none	1	none	Scaffold	na	1974449	CG_4_10_14_0_2_um_filter_33_13	PFNQ00000000.1	PRJNA362739	2017/11/16	none	none	none	none	k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__;g__;s__	654	4409593	85.761	0	618	PFNQ01000042.1	1569	1533	Archaea;Woesearchaeota (DHVEG-6);marine metagenome	AACY020521239.1.1481	1202	0	89.933	none	none	none	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__GW2011-AR9;f__GW2011-AR9;g__um-filter-33-13;s__	f	1	GB_GCA_002792115.1	f
GB_GCA_002505775.1	28	639685	178253	47.709915124	11878	1352658	45147	92902	6	60	0	82348	11	48309	22346	none	none	none	80.13	0	1194	1258592	93.0458401163	1	188	p__Euryarchaeota (UID3)	125	0	1	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	GB_GCA_002505775.1	t	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__Marine Group II;s__Euryarchaeota archaeon UBA130	f	SAMN06027126	11876	0	2017-10-10	University of Queensland	0	none	ASM250577v1	none	0	n/a	0	GCA_002505775.1	1352658	0	1915806	0	full	32	none	none	60	Euryarchaeota archaeon UBA130	45147	1340782	none	0	none	Scaffold	na	1915806	UBA130	DAVY00000000.1	PRJNA348753	2017/10/10	none	none	none	none	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Marine group II;g__;s__	521	255494	100	6.27e-147	282	DAVY01000017.1	302	555	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;marine metagenome	AACY020125842.55.1493	300	1.83e-156	100	DAVY01000006.1	110	94887	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIB;g__UBA463;s__UBA463 sp5	f	1	GB_GCA_002505775.1	f
GB_GCA_002685415.1	85	686800	101214	42.6756408958	8112	1617461	25795	25928	17	85	0	100670	17	19028	18933	none	none	none	61.73	0.55	1473	1536215	94.976942257	1	188	p__Euryarchaeota (UID3)	125	0	1	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	GB_GCA_002685415.1	t	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__unclassified Euryarchaeota (miscellaneous);s__Euryarchaeota archaeon	f	SAMN07618716	0	0	2017-10-24	Tara Oceans Consortium	0	none	ASM268541v1	none	1459	n/a	3	GCA_002685415.1	1617461	0	2026739	36	full	0	11	none	85	Euryarchaeota archaeon	25928	1617461	none	1	none	Contig	na	2026739	ARS96	NYXO00000000.1	PRJNA391943	2017/10/24	none	none	none	none	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Marine group II;g__;s__	667	2399776	98.417	0	379	NYXO01000002.1	379	684	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon	HQ529824.1.914	379	0	99.208	NYXO01000001.1	110	89405	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIB;g__UBA252;s__	f	1	GB_GCA_002685415.1	f
GB_GCA_002503135.1	77	695602	51342	54.5461531585	14512	1289766	16849	24451	21	118	0	31476	27	16750	10807	none	none	none	93.14	0	1475	1135856	88.0668276261	1	234	p__Euryarchaeota (UID54)	153	0	0	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__;s__	GB_GCA_002503135.1	t	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;x__unclassified Methanomicrobiaceae;s__Methanomicrobiaceae archaeon UBA207	f	SAMN06027568	14512	0	2017-10-10	University of Queensland	0	none	ASM250313v1	none	0	n/a	0	GCA_002503135.1	1289766	0	1915691	0	full	41	none	none	118	Methanomicrobiaceae archaeon UBA207	16849	1275254	none	0	none	Scaffold	na	1915691	UBA207	DARA00000000.1	PRJNA348753	2017/10/10	none	none	none	none	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__	1085	145624	94.707	0	699	DARA01000015.1	701	1085	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;uncultured;uncultured archaeon	AY835412.1.1433	699	0	94.707	none	none	none	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocullaceae;g__UBA207;s__	f	4	GB_GCA_002503135.1;U_69494;GB_GCA_002502815.1;U_65456	f
GB_GCA_002501775.1	9	461163	325482	47.4413853338	12	972081	230274	230274	2	9	0	325482	2	108009	108007	none	none	none	84.11	0.93	1032	887880	91.3380675067	2	149	k__Archaea (UID2)	107	0	1	d__Archaea;p__Candidatus Micrarchaeota;c__;o__;f__;g__;s__	GB_GCA_002501775.1	t	d__Archaea;x__DPANN group;p__Candidatus Micrarchaeota;x__unclassified Candidatus Micrarchaeota;s__Candidatus Micrarchaeota archaeon UBA523	f	SAMN06027222	0	0	2017-10-10	University of Queensland	0	none	ASM250177v1	none	0	n/a	0	GCA_002501775.1	972081	0	1915997	0	full	0	none	none	9	Candidatus Micrarchaeota archaeon UBA523	230274	972081	none	0	none	Contig	na	1915997	UBA523	DAOH00000000.1	PRJNA348753	2017/10/10	none	none	none	none	k__Archaea;p__[Parvarchaeota];c__[Micrarchaea];o__[Micrarchaeles];f__;g__;s__	852	2858609	100	0	461	DAOH01000003.1	462	854	Archaea;Parvarchaeota;Parvarchaeota Incertae Sedis;Unknown Order;Unknown Family;Candidatus Micrarchaeum;Candidatus Micrarchaeum acidiphilum ARMAN-2	DQ848677.10094.13102	462	0	100	DAOH01000009.1	89	230274	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__UBA581;s__UBA581 sp1	f	1	GB_GCA_002501775.1	f
GB_GCA_002509485.1	152	898811	42733	54.303998376	5395	1660542	11259	16858	32	228	0	41900	44	10924	7259	none	none	none	67.79	3.1	1918	1422861	85.6865409005	0	234	p__Euryarchaeota (UID54)	153	83.33	0	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__	GB_GCA_002509485.1	t	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__Methanolinea sp. UBA477	f	SAMN06027623	5278	0	2017-10-11	University of Queensland	0	none	ASM250948v1	none	0	n/a	0	GCA_002509485.1	1660542	0	1915525	0	full	76	none	none	228	Methanolinea sp. UBA477	11259	1655264	none	0	none	Scaffold	na	1915525	UBA477	DAWO00000000.1	PRJNA348753	2017/10/11	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__SD8;s__	f	1	GB_GCA_002509485.1	f
GB_GCA_002693705.1	66	619021	91572	47.128459142	6770	1320246	22338	22531	15	66	0	91159	15	20003	19901	none	none	none	69.16	1.07	1193	1261014	95.5135633814	0	188	p__Euryarchaeota (UID3)	125	50	0	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	GB_GCA_002693705.1	t	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__unclassified Euryarchaeota (miscellaneous);s__Euryarchaeota archaeon	f	SAMN07618729	0	0	2017-10-24	Tara Oceans Consortium	0	none	ASM269370v1	none	1178	n/a	0	GCA_002693705.1	1320246	0	2026739	43	full	0	11	none	66	Euryarchaeota archaeon	22531	1320246	none	0	none	Contig	na	2026739	EAC40	NZRH00000000.1	PRJNA391943	2017/10/24	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIB;g__UBA463;s__	f	1	GB_GCA_002693705.1	f
GB_GCA_002722595.1	51	733669	100172	44.7082718368	602	1641616	36166	36182	15	51	0	100172	15	32188	32176	none	none	none	77.16	1.6	1348	1573544	95.8533542558	0	188	p__Euryarchaeota (UID3)	125	50	1	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	GB_GCA_002722595.1	t	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__unclassified Euryarchaeota (miscellaneous);s__Euryarchaeota archaeon	f	SAMN07618881	0	0	2017-10-25	Tara Oceans Consortium	0	none	ASM272259v1	none	1336	n/a	2	GCA_002722595.1	1641616	0	2026739	34	full	0	11	none	51	Euryarchaeota archaeon	36182	1641616	none	1	none	Contig	na	2026739	SP210	PBMO00000000.1	PRJNA391943	2017/10/25	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	PBMO01000013.1	110	18114	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIB;g__GCA-2722595;s__	f	1	GB_GCA_002722595.1	f
GB_GCA_002254415.1	53	171690	32115	27.9542546021	0	614182	13620	13620	15	53	0	32115	15	11588	11588	none	none	none	59.81	0	651	519743	84.6236131961	1	149	k__Archaea (UID2)	107	0	0	d__Archaea;p__Candidatus Aenigmarchaeota;c__;o__;f__;g__;s__	GB_GCA_002254415.1	t	d__Archaea;x__DPANN group;p__Candidatus Aenigmarchaeota;x__unclassified Aenigmarchaeota;s__Candidatus Aenigmarchaeota archaeon ex4484_52	f	SAMN06647971	0	0	2017-8-16	The University of Texas at Austin	0	none	ASM225441v1	none	630	n/a	3	GCA_002254415.1	614182	0	2012504	23	full	0	11	none	53	Candidatus Aenigmarchaeota archaeon ex4484_52	13620	614182	none	1	none	Contig	na	2012504	ex4484_52	NJDR00000000.1	PRJNA362212	2017/08/16	none	none	none	none	k__Archaea;p__Euryarchaeota;c__DSEG;o__HydGC-84-221A;f__;g__;s__	1803	564724	90.071	0	1400	NJDR01000012.1	1464	1803	Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);uncultured archaeon	GU190980.1.1388	1400	0	90.071	none	none	none	d__Archaea;p__Nanoarchaeota;c__CG03;o__ex4484-52;f__ex4484-52;g__ex4484-52;s__	f	1	GB_GCA_002254415.1	f
GB_GCA_002825515.1	235	1485474	123792	42.588484824	0	3487971	18009	18009	49	235	0	123792	49	14842	14842	none	none	none	90.19	2.34	3694	3191425	91.498037111	2	149	k__Archaea (UID2)	107	0	1	d__Archaea;p__Candidatus Thorarchaeota;c__;o__;f__;g__;s__	GB_GCA_002825515.1	t	d__Archaea;x__Asgard group;p__Candidatus Thorarchaeota;s__Candidatus Thorarchaeota archaeon MP11T_1	f	SAMN06640694	0	0	2017-12-8	The University of Hong Kong	0	none	ASM282551v1	none	0	n/a	0	GCA_002825515.1	3487971	0	1969372	0	full	0	none	none	235	Candidatus Thorarchaeota archaeon MP11T_1	18009	3487971	none	0	none	Contig	na	1969372	MP11T_1	PJET00000000.1	PRJNA360036	2017/12/08	none	none	none	none	k__Archaea;p__Crenarchaeota;c__MBGB;o__;f__;g__;s__	575	830	82.998	1.83e-162	647	PJET01000033.1	1092	1640	Archaea;uncultured archaeon	KC471281.1.1501	1093	0	93.779	PJET01000002.1	112	107140	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__	f	1	GB_GCA_002825515.1	f
GB_GCA_002713925.1	41	596776	77659	51.7989757834	2003	1154103	33279	33316	11	41	0	77542	11	28148	28100	none	none	none	63.73	0	1029	1105601	95.7974288257	0	188	p__Euryarchaeota (UID3)	125	0	0	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	GB_GCA_002713925.1	t	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__unclassified Euryarchaeota (miscellaneous);s__Euryarchaeota archaeon	f	SAMN07618847	0	0	2017-10-25	Tara Oceans Consortium	0	none	ASM271392v1	none	1014	n/a	0	GCA_002713925.1	1154103	0	2026739	23	full	0	11	none	41	Euryarchaeota archaeon	33316	1154103	none	0	none	Contig	na	2026739	SAT143	PAVL00000000.1	PRJNA391943	2017/10/25	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIB;g__UBA557;s__	f	1	GB_GCA_002713925.1	f
GB_GCA_002498665.1	77	736138	111128	42.6118481566	3726	1731269	28938	40999	14	116	0	100005	17	22484	14892	none	none	none	96.46	0.81	1836	1525670	88.1243758191	1	187	p__Euryarchaeota (UID3)	124	0	0	d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__;g__;s__	GB_GCA_002503205.1	f	d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;x__unclassified Thermoplasmatales;x__unclassified Thermoplasmatales (miscellaneous);s__Thermoplasmatales archaeon UBA513	f	SAMN06027346	3724	0	2017-10-10	University of Queensland	0	none	ASM249866v1	none	0	n/a	0	GCA_002498665.1	1731269	0	1915725	0	full	39	none	none	116	Thermoplasmatales archaeon UBA513	28938	1727545	none	0	none	Scaffold	na	1915725	UBA513	DAIC00000000.1	PRJNA348753	2017/10/10	none	none	none	none	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Picrophilaceae;g__Thermogymnomonas;s__	510	141956	99.291	1.4e-143	282	DAIC01000055.1	310	571	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;uncultured Thermoplasmatales archaeon	KJ907757.1.1470	309	1.87e-161	100	none	none	none	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__UBA447;s__	f	none	none	f
GB_GCA_002497525.1	119	595174	49033	48.5771861709	19049	1244262	11703	13806	25	176	0	37068	30	10455	6961	none	none	none	67.6	0.8	1140	1149746	92.403850636	0	188	p__Euryarchaeota (UID3)	125	100	0	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	GB_GCA_002497525.1	t	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__Marine Group II;s__Euryarchaeota archaeon UBA109	f	SAMN06027591	19047	0	2017-10-10	University of Queensland	0	none	ASM249752v1	none	0	n/a	0	GCA_002497525.1	1244262	0	1915789	0	full	57	none	none	176	Euryarchaeota archaeon UBA109	11703	1225215	none	0	none	Scaffold	na	1915789	UBA109	DADJ00000000.1	PRJNA348753	2017/10/10	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIB;g__UBA623;s__UBA623 sp1	f	1	GB_GCA_002497525.1	f
GB_GCA_002692465.1	90	522662	67270	34.7457796132	283	1504529	22203	22216	24	90	0	67244	24	16716	16713	none	none	none	72.4	0.8	1289	1441040	95.7801411605	0	188	p__Euryarchaeota (UID3)	125	100	1	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	GB_GCA_002692465.1	t	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__unclassified Euryarchaeota (miscellaneous);s__Euryarchaeota archaeon	f	SAMN07618747	0	0	2017-10-24	Tara Oceans Consortium	0	none	ASM269246v1	none	1268	n/a	3	GCA_002692465.1	1504529	0	2026739	32	full	0	11	none	90	Euryarchaeota archaeon	22216	1504529	none	1	none	Contig	na	2026739	IN961	NZKH00000000.1	PRJNA391943	2017/10/24	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	NZKH01000048.1	111	7214	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA68;s__	f	1	GB_GCA_002692465.1	f
GB_GCA_002503645.1	187	1087311	48753	61.2965674157	72518	1846371	6947	13744	43	523	0	30521	78	9873	3391	none	none	none	79.26	0	2171	1520141	82.3312866157	1	187	p__Euryarchaeota (UID3)	124	0	2	d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__	GB_GCA_002504525.1	f	d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Methanomassiliicoccus sp. UBA315	f	SAMN06027165	72494	0	2017-10-10	University of Queensland	0	none	ASM250364v1	none	0	n/a	0	GCA_002503645.1	1846371	0	1915531	0	full	336	none	none	523	Methanomassiliicoccus sp. UBA315	6947	1773877	none	0	none	Scaffold	na	1915531	UBA315	DASE00000000.1	PRJNA348753	2017/10/10	none	none	none	none	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae];g__Methanomassiliicoccus;s__	1816	824847	99.303	0	1004	DASE01000097.1	1844	1816	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmatales Incertae Sedis;Methanomassiliicoccus;uncultured archaeon	AB598075.1.1399	1004	0	99.303	DASE01000128.1	115	4236	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata_A;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__DTU008;s__	f	none	none	f
GB_GCA_002507225.1	192	612384	43492	43.6375763268	93558	1496899	4967	10458	42	445	0	19454	82	7796	3153	none	none	none	62.47	0	1386	1186821	79.2853091625	0	188	p__Euryarchaeota (UID3)	125	0	1	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	GB_GCA_002507225.1	t	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__Marine Group II;s__Euryarchaeota archaeon UBA177	f	SAMN06027211	93552	0	2017-10-10	University of Queensland	0	none	ASM250722v1	none	0	n/a	0	GCA_002507225.1	1496899	0	1915822	0	full	253	none	none	445	Euryarchaeota archaeon UBA177	4967	1403347	none	0	none	Scaffold	na	1915822	UBA177	DAZH00000000.1	PRJNA348753	2017/10/10	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	DAZH01000109.1	109	3060	d__Archaea;p__Thermoplasmatota;c__MGII;o__MGII;f__MGIIA;g__UBA120;s__UBA120 sp1	f	1	GB_GCA_002507225.1	f
